"Bank Credit in India [As prescribed in item No.VI of Form `A’ under 
Section 42(2) of the RBI Act, 1934]","I"
"Bills Rediscounted with RBI and other approved Financial Institutions","II"
"Net Bank Credit (NBC)*","III(I-II)"
"Bonds/debentures in Non-SLR categories under HTM category+ other 
investments eligible to be treated as priority sector + Outstanding 
Deposits under RIDF and other eligible funds with NABARD, NHB, 
SIDBI and MUDRA Ltd on account of priority sector shortfall + 
outstanding PSLCs","IV"
"Eligible amount for exemptions on issuance of long-term bonds for 
infrastructure and affordable housing as per circular 
DBOD.BP.BC.No.25/08.12.014/2014-15 dated July 15, 2014","V"
"Eligible advances extended in India against the incremental 
FCNR(B)/NRE deposits, qualifying for exemption from CRR/SLR 
requirements","VI"
"ANBC","III+IV-
(V+VI)"
